...
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1947         |
|    time_elapsed         | 50041        |
|    total_timesteps      | 2803680      |
| train/                  |              |
|    approx_kl            | 9.020931e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.16        |
|    explained_variance   | 0.0517       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.259       |
|    n_updates            | 19460        |
|    policy_gradient_loss | -0.000248    |
|    std                  | 42           |
|    value_loss           | 1.21e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1948         |
|    time_elapsed         | 50041        |
|    total_timesteps      | 2805120      |
| train/                  |              |
|    approx_kl            | 0.0027957624 |
|    clip_fraction        | 0.0108       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.16        |
|    explained_variance   | 0.012        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.267       |
|    n_updates            | 19470        |
|    policy_gradient_loss | -0.00345     |
|    std                  | 42.1         |
|    value_loss           | 6.97e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1948         |
|    time_elapsed         | 50041        |
|    total_timesteps      | 2805120      |
| train/                  |              |
|    approx_kl            | 0.0027957624 |
|    clip_fraction        | 0.0108       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.16        |
|    explained_variance   | 0.012        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.267       |
|    n_updates            | 19470        |
|    policy_gradient_loss | -0.00345     |
|    std                  | 42.1         |
|    value_loss           | 6.97e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1949         |
|    time_elapsed         | 50041        |
|    total_timesteps      | 2806560      |
| train/                  |              |
|    approx_kl            | 0.0016656391 |
|    clip_fraction        | 0.00243      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.16        |
|    explained_variance   | 0.00626      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.259       |
|    n_updates            | 19480        |
|    policy_gradient_loss | -0.00132     |
|    std                  | 42.2         |
|    value_loss           | 6.72e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 1949         |
|    time_elapsed         | 50041        |
|    total_timesteps      | 2806560      |
| train/                  |              |
|    approx_kl            | 0.0016656391 |
|    clip_fraction        | 0.00243      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.16        |
|    explained_variance   | 0.00626      |
|    learning_rate        | 0.0001       |
|    loss                 | -0.259       |
|    n_updates            | 19480        |
|    policy_gradient_loss | -0.00132     |
|    std                  | 42.2         |
|    value_loss           | 6.72e-07     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+06    |
|    ep_rew_mean          | -1.08       |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 1950        |
